item_id,avg_rating,rating_count,title
1,3.8783185840707963,452,Toy Story (1995)
2,3.2061068702290076,131,GoldenEye (1995)
3,3.033333333333333,90,Four Rooms (1995)
4,3.550239234449761,209,Get Shorty (1995)
5,3.302325581395349,86,Copycat (1995)
6,3.576923076923077,26,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
7,3.798469387755102,392,Twelve Monkeys (1995)
8,3.9954337899543377,219,Babe (1995)
9,3.8963210702341136,299,Dead Man Walking (1995)
10,3.831460674157303,89,Richard III (1995)
11,3.847457627118644,236,Seven (Se7en) (1995)
12,4.385767790262173,267,"Usual Suspects, The (1995)"
13,3.4184782608695654,184,Mighty Aphrodite (1995)
14,3.9672131147540983,183,"Postino, Il (1994)"
15,3.7781569965870307,293,Mr. Holland's Opus (1995)
16,3.2051282051282053,39,French Twist (Gazon maudit) (1995)
17,3.119565217391304,92,From Dusk Till Dawn (1996)
18,2.8,10,"White Balloon, The (1995)"
19,3.9565217391304346,69,Antonia's Line (1995)
20,3.4166666666666665,72,Angels and Insects (1995)
21,2.761904761904762,84,Muppet Treasure Island (1996)
22,4.151515151515151,297,Braveheart (1995)
23,4.1208791208791204,182,Taxi Driver (1976)
24,3.4482758620689653,174,Rumble in the Bronx (1995)
25,3.4436860068259385,293,"Birdcage, The (1996)"
26,3.452054794520548,73,"Brothers McMullen, The (1995)"
27,3.1052631578947367,57,Bad Boys (1995)
28,3.931159420289855,276,Apollo 13 (1995)
29,2.6666666666666665,114,Batman Forever (1995)
30,3.945945945945946,37,Belle de jour (1967)
31,3.6298701298701297,154,Crimson Tide (1995)
32,3.7901234567901234,81,Crumb (1994)
33,3.4536082474226806,97,Desperado (1995)
34,2.7142857142857144,7,"Doom Generation, The (1995)"
35,2.1818181818181817,11,Free Willy 2: The Adventure Home (1995)
36,2.1538461538461537,13,Mad Love (1995)
37,2.25,8,Nadja (1994)
38,3.0083333333333333,120,"Net, The (1995)"
39,3.264367816091954,87,Strange Days (1995)
40,2.8947368421052633,57,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
41,3.081081081081081,37,Billy Madison (1995)
42,3.804054054054054,148,Clerks (1994)
43,3.0,40,Disclosure (1994)
44,3.3417721518987342,79,Dolores Claiborne (1994)
45,4.05,80,Eat Drink Man Woman (1994)
46,3.5555555555555554,27,Exotica (1994)
47,3.601503759398496,133,Ed Wood (1994)
48,4.094017094017094,117,Hoop Dreams (1994)
49,3.3209876543209877,81,I.Q. (1994)
50,4.3584905660377355,583,Star Wars (1977)
51,3.45679012345679,81,Legends of the Fall (1994)
52,3.769230769230769,91,"Madness of King George, The (1994)"
53,2.953125,128,Natural Born Killers (1994)
54,3.2403846153846154,104,Outbreak (1995)
55,3.704697986577181,149,"Professional, The (1994)"
56,4.060913705583756,394,Pulp Fiction (1994)
57,4.0,40,Priest (1994)
58,3.645714285714286,175,Quiz Show (1994)
59,4.0602409638554215,83,Three Colors: Red (1994)
60,4.015625,64,Three Colors: Blue (1993)
61,3.864406779661017,59,Three Colors: White (1994)
62,3.141732283464567,127,Stargate (1994)
63,3.097560975609756,82,"Santa Clause, The (1994)"
64,4.445229681978798,283,"Shawshank Redemption, The (1994)"
65,3.5391304347826087,115,What's Eating Gilbert Grape (1993)
66,3.549382716049383,162,While You Were Sleeping (1995)
67,3.0485436893203883,103,Ace Ventura: Pet Detective (1994)
68,3.417910447761194,134,"Crow, The (1994)"
69,3.853582554517134,321,Forrest Gump (1994)
70,3.6613545816733066,251,Four Weddings and a Funeral (1994)
71,3.7818181818181817,220,"Lion King, The (1994)"
72,3.193798449612403,129,"Mask, The (1994)"
73,3.46875,128,Maverick (1994)
74,3.0,7,Faster Pussycat! Kill! Kill! (1965)
75,3.0,5,Brother Minister: The Assassination of Malcolm X (1994)
76,3.4074074074074074,54,Carlito's Way (1993)
77,3.2781456953642385,151,"Firm, The (1993)"
78,2.4545454545454546,33,Free Willy (1993)
79,4.044642857142857,336,"Fugitive, The (1993)"
80,2.764705882352941,68,Hot Shots! Part Deux (1993)
81,3.5545454545454547,110,"Hudsucker Proxy, The (1994)"
82,3.7203065134099615,261,Jurassic Park (1993)
83,4.0625,176,Much Ado About Nothing (1993)
84,3.0,18,Robert A. Heinlein's The Puppet Masters (1994)
85,3.0344827586206895,58,"Ref, The (1994)"
86,3.94,150,"Remains of the Day, The (1993)"
87,3.9057971014492754,138,Searching for Bobby Fischer (1993)
88,3.539906103286385,213,Sleepless in Seattle (1993)
89,4.138181818181818,275,Blade Runner (1982)
90,3.0526315789473686,95,So I Married an Axe Murderer (1993)
91,3.5874125874125875,143,"Nightmare Before Christmas, The (1993)"
92,3.6153846153846154,104,True Romance (1993)
93,3.7232142857142856,112,Welcome to the Dollhouse (1995)
94,3.0875912408759123,137,Home Alone (1990)
95,3.8127853881278537,219,Aladdin (1992)
96,4.0067796610169495,295,Terminator 2: Judgment Day (1991)
97,3.79296875,256,Dances with Wolves (1990)
98,4.28974358974359,390,"Silence of the Lambs, The (1991)"
99,3.7093023255813953,172,Snow White and the Seven Dwarfs (1937)
100,4.155511811023622,508,Fargo (1996)
101,3.26027397260274,73,Heavy Metal (1981)
102,3.1296296296296298,54,"Aristocats, The (1970)"
103,1.8666666666666667,15,All Dogs Go to Heaven 2 (1996)
104,1.4,5,Theodore Rex (1995)
105,2.5675675675675675,74,Sgt. Bilko (1996)
106,2.887323943661972,71,Diabolique (1996)
107,3.5,42,Moll Flanders (1996)
108,3.076923076923077,65,Kids in the Hall: Brain Candy (1996)
109,3.4307692307692306,130,Mystery Science Theater 3000: The Movie (1996)
110,2.5161290322580645,31,Operation Dumbo Drop (1995)
111,3.485294117647059,272,"Truth About Cats & Dogs, The (1996)"
112,2.45,20,Flipper (1996)
113,4.111111111111111,9,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
114,4.447761194029851,67,Wallace & Gromit: The Best of Aardman Animation (1996)
115,3.7333333333333334,15,"Haunted World of Edward D. Wood Jr., The (1995)"
116,3.824,125,Cold Comfort Farm (1995)
117,3.693121693121693,378,"Rock, The (1996)"
118,3.2150170648464163,293,Twister (1996)
119,4.5,4,Maya Lin: A Strong Clear Vision (1994)
120,2.2388059701492535,67,Striptease (1996)
121,3.438228438228438,429,Independence Day (ID4) (1996)
122,2.339622641509434,106,"Cable Guy, The (1996)"
123,3.234782608695652,115,"Frighteners, The (1996)"
124,4.053475935828877,187,Lone Star (1996)
125,3.557377049180328,244,Phenomenon (1996)
126,3.804123711340206,97,"Spitfire Grill, The (1996)"
127,4.283292978208232,413,"Godfather, The (1972)"
128,3.5384615384615383,65,Supercop (1992)
129,3.8217054263565893,129,Bound (1996)
130,2.260869565217391,23,Kansas City (1996)
131,3.7263157894736842,95,Breakfast at Tiffany's (1961)
132,4.0772357723577235,246,"Wizard of Oz, The (1939)"
133,3.871345029239766,171,Gone with the Wind (1939)
134,4.292929292929293,198,Citizen Kane (1941)
135,3.969111969111969,259,2001: A Space Odyssey (1968)
136,4.123809523809523,105,Mr. Smith Goes to Washington (1939)
137,3.9005847953216373,171,Big Night (1996)
138,2.5789473684210527,19,D3: The Mighty Ducks (1996)
139,2.78,50,"Love Bug, The (1969)"
140,3.2131147540983607,61,Homeward Bound: The Incredible Journey (1993)
141,3.5,72,"20,000 Leagues Under the Sea (1954)"
142,3.0701754385964914,57,Bedknobs and Broomsticks (1971)
143,3.765765765765766,222,"Sound of Music, The (1965)"
144,3.8724279835390947,243,Die Hard (1988)
145,2.4461538461538463,65,"Lawnmower Man, The (1992)"
146,2.5,10,Unhook the Stars (1996)
147,3.4702702702702704,185,"Long Kiss Goodnight, The (1996)"
148,3.203125,128,"Ghost and the Darkness, The (1996)"
149,3.0,23,Jude (1996)
150,3.828025477707006,157,Swingers (1996)
151,3.6319018404907975,326,Willy Wonka and the Chocolate Factory (1971)
152,3.6341463414634148,82,Sleeper (1973)
153,3.785425101214575,247,"Fish Called Wanda, A (1988)"
154,3.7471264367816093,174,Monty Python's Life of Brian (1979)
155,3.1020408163265305,98,Dirty Dancing (1987)
156,3.9864864864864864,148,Reservoir Dogs (1992)
157,3.6929133858267718,127,Platoon (1986)
158,2.6166666666666667,60,Weekend at Bernie's (1989)
159,3.227722772277228,101,Basic Instinct (1992)
160,3.463768115942029,69,Glengarry Glen Ross (1992)
161,3.481818181818182,220,Top Gun (1986)
162,3.556603773584906,106,On Golden Pond (1981)
163,3.5543478260869565,92,"Return of the Pink Panther, The (1974)"
164,3.589403973509934,151,"Abyss, The (1989)"
165,4.109375,64,Jean de Florette (1986)
166,4.120689655172414,58,Manon of the Spring (Manon des sources) (1986)
167,2.955223880597015,67,Private Benjamin (1980)
168,4.0664556962025316,316,Monty Python and the Holy Grail (1974)
169,4.466101694915254,118,"Wrong Trousers, The (1993)"
170,4.1735537190082646,121,Cinema Paradiso (1988)
171,3.876923076923077,65,Delicatessen (1991)
172,4.204359673024523,367,"Empire Strikes Back, The (1980)"
173,4.172839506172839,324,"Princess Bride, The (1987)"
174,4.252380952380952,420,Raiders of the Lost Ark (1981)
175,3.8173076923076925,208,Brazil (1985)
176,3.9471830985915495,284,Aliens (1986)
177,3.8613138686131387,137,"Good, The Bad and The Ugly, The (1966)"
178,4.344,125,12 Angry Men (1957)
179,3.909502262443439,221,"Clockwork Orange, A (1971)"
180,4.04524886877828,221,Apocalypse Now (1979)
181,4.007889546351085,507,Return of the Jedi (1983)
182,3.9513274336283186,226,GoodFellas (1990)
183,4.034364261168385,291,Alien (1979)
184,3.4310344827586206,116,Army of Darkness (1993)
185,4.100418410041841,239,Psycho (1960)
186,3.8366533864541834,251,"Blues Brothers, The (1980)"
187,4.186602870813397,209,"Godfather: Part II, The (1974)"
188,3.6823529411764704,170,Full Metal Jacket (1987)
189,4.106060606060606,66,"Grand Day Out, A (1992)"
190,4.137096774193548,124,Henry V (1989)
191,4.163043478260869,276,Amadeus (1984)
192,4.120689655172414,116,Raging Bull (1980)
193,3.917197452229299,157,"Right Stuff, The (1983)"
194,4.058091286307054,241,"Sting, The (1973)"
195,3.9335548172757475,301,"Terminator, The (1984)"
196,3.9163346613545817,251,Dead Poets Society (1989)
197,4.104602510460251,239,"Graduate, The (1967)"
198,4.0078740157480315,127,Nikita (La Femme Nikita) (1990)
199,4.175757575757576,165,"Bridge on the River Kwai, The (1957)"
