item_id,title,avg_rating,num_ratings,genre
50,Star Wars (1977),4.3584905660377355,583,Action
127,"Godfather, The (1972)",4.283292978208232,413,Action
174,Raiders of the Lost Ark (1981),4.252380952380952,420,Action
313,Titanic (1997),4.2457142857142856,350,Action
172,"Empire Strikes Back, The (1980)",4.204359673024523,367,Action
515,"Boot, Das (1981)",4.203980099502488,201,Action
187,"Godfather: Part II, The (1974)",4.186602870813397,209,Action
498,"African Queen, The (1951)",4.184210526315789,152,Action
173,"Princess Bride, The (1987)",4.172839506172839,324,Action
22,Braveheart (1995),4.151515151515151,297,Action
50,Star Wars (1977),4.3584905660377355,583,Adventure
174,Raiders of the Lost Ark (1981),4.252380952380952,420,Adventure
511,Lawrence of Arabia (1962),4.23121387283237,173,Adventure
172,"Empire Strikes Back, The (1980)",4.204359673024523,367,Adventure
498,"African Queen, The (1951)",4.184210526315789,152,Adventure
173,"Princess Bride, The (1987)",4.172839506172839,324,Adventure
520,"Great Escape, The (1963)",4.104838709677419,124,Adventure
519,"Treasure of the Sierra Madre, The (1948)",4.1,80,Adventure
132,"Wizard of Oz, The (1939)",4.0772357723577235,246,Adventure
530,"Man Who Would Be King, The (1975)",4.025,80,Adventure
408,"Close Shave, A (1995)",4.491071428571429,112,Animation
169,"Wrong Trousers, The (1993)",4.466101694915254,118,Animation
114,Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194029851,67,Animation
189,"Grand Day Out, A (1992)",4.106060606060606,66,Animation
1,Toy Story (1995),3.8783185840707963,452,Animation
95,Aladdin (1992),3.8127853881278537,219,Animation
969,Winnie the Pooh and the Blustery Day (1968),3.8,75,Animation
588,Beauty and the Beast (1991),3.792079207920792,202,Animation
71,"Lion King, The (1994)",3.7818181818181817,220,Animation
432,Fantasia (1940),3.7701149425287355,174,Animation
132,"Wizard of Oz, The (1939)",4.0772357723577235,246,Children
8,Babe (1995),3.9954337899543377,219,Children
500,Fly Away Home (1996),3.903225806451613,31,Children
1,Toy Story (1995),3.8783185840707963,452,Children
423,E.T. the Extra-Terrestrial (1982),3.8333333333333335,300,Children
95,Aladdin (1992),3.8127853881278537,219,Children
969,Winnie the Pooh and the Blustery Day (1968),3.8,75,Children
588,Beauty and the Beast (1991),3.792079207920792,202,Children
71,"Lion King, The (1994)",3.7818181818181817,220,Children
432,Fantasia (1940),3.7701149425287355,174,Children
408,"Close Shave, A (1995)",4.491071428571429,112,Comedy
169,"Wrong Trousers, The (1993)",4.466101694915254,118,Comedy
480,North by Northwest (1959),4.284916201117318,179,Comedy
251,Shall We Dance? (1996),4.260869565217392,46,Comedy
316,As Good As It Gets (1997),4.196428571428571,112,Comedy
170,Cinema Paradiso (1988),4.1735537190082646,121,Comedy
173,"Princess Bride, The (1987)",4.172839506172839,324,Comedy
1007,Waiting for Guffman (1996),4.127659574468085,47,Comedy
478,"Philadelphia Story, The (1940)",4.115384615384615,104,Comedy
189,"Grand Day Out, A (1992)",4.106060606060606,66,Comedy
12,"Usual Suspects, The (1995)",4.385767790262173,267,Crime
127,"Godfather, The (1972)",4.283292978208232,413,Crime
187,"Godfather: Part II, The (1974)",4.186602870813397,209,Crime
302,L.A. Confidential (1997),4.161616161616162,297,Crime
100,Fargo (1996),4.155511811023622,508,Crime
611,Laura (1944),4.1,40,Crime
1194,Once Were Warriors (1994),4.064516129032258,31,Crime
56,Pulp Fiction (1994),4.060913705583756,394,Crime
194,"Sting, The (1973)",4.058091286307054,241,Crime
656,M (1931),4.0,44,Crime
48,Hoop Dreams (1994),4.094017094017094,117,Documentary
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),4.05,20,Documentary
1142,When We Were Kings (1996),4.045454545454546,44,Documentary
701,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",4.0,10,Documentary
811,Thirty-Two Short Films About Glenn Gould (1993),3.9444444444444446,18,Documentary
813,"Celluloid Closet, The (1995)",3.892857142857143,56,Documentary
1084,Anne Frank Remembered (1995),3.857142857142857,21,Documentary
645,Paris Is Burning (1990),3.814814814814815,27,Documentary
32,Crumb (1994),3.7901234567901234,81,Documentary
644,"Thin Blue Line, The (1988)",3.7714285714285714,35,Documentary
318,Schindler's List (1993),4.466442953020135,298,Drama
483,Casablanca (1942),4.45679012345679,243,Drama
64,"Shawshank Redemption, The (1994)",4.445229681978798,283,Drama
178,12 Angry Men (1957),4.344,125,Drama
134,Citizen Kane (1941),4.292929292929293,198,Drama
963,Some Folks Call It a Sling Blade (1993),4.2926829268292686,41,Drama
427,To Kill a Mockingbird (1962),4.292237442922374,219,Drama
357,One Flew Over the Cuckoo's Nest (1975),4.291666666666667,264,Drama
98,"Silence of the Lambs, The (1991)",4.28974358974359,390,Drama
127,"Godfather, The (1972)",4.283292978208232,413,Drama
