item_id,avg_rating,rating_count,title
408,4.491071428571429,112,"Close Shave, A (1995)"
318,4.466442953020135,298,Schindler's List (1993)
169,4.466101694915254,118,"Wrong Trousers, The (1993)"
483,4.45679012345679,243,Casablanca (1942)
114,4.447761194029851,67,Wallace & Gromit: The Best of Aardman Animation (1996)
64,4.445229681978798,283,"Shawshank Redemption, The (1994)"
603,4.3875598086124405,209,Rear Window (1954)
12,4.385767790262173,267,"Usual Suspects, The (1995)"
50,4.3584905660377355,583,Star Wars (1977)
178,4.344,125,12 Angry Men (1957)
513,4.333333333333333,72,"Third Man, The (1949)"
134,4.292929292929293,198,Citizen Kane (1941)
427,4.292237442922374,219,To Kill a Mockingbird (1962)
357,4.291666666666667,264,One Flew Over the Cuckoo's Nest (1975)
98,4.28974358974359,390,"Silence of the Lambs, The (1991)"
480,4.284916201117318,179,North by Northwest (1959)
127,4.283292978208232,413,"Godfather, The (1972)"
285,4.265432098765432,162,Secrets & Lies (1996)
272,4.262626262626263,198,Good Will Hunting (1997)
657,4.259541984732825,131,"Manchurian Candidate, The (1962)"
